trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-104.0116339437085,"{0: 17, 1: 9, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-65.53597096994687,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-205.59297813570655,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-101.37122733611002,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-114.82939512289482,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,18,-14.373091176524543,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-25.540686546973497,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,3,-91.64507423479344,"{0: 21, 1: 2, 2: 7, 3: 2, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,6,-23.06991362250083,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,5,-24.99633252057438,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-115.86925132595152,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,5,-46.99105489108774,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-135.34844901885907,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-157.36939214001313,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,14,-21.983509919188993,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,14,-63.52884947228222,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,3,-125.08063130001055,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 3}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-26.20242741787237,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-38.21174826665236,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-23.359413637815443,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-32.43132346732863,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,6,-103.65700641816893,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 3}",1
3,True,"{'a': 0, 'e': 0}",25,3,37.928677689341676,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,17.501677460119012,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,14,20.926271158598418,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,18.312609349661642,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,3,-16.312406469706627,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,-56.80673966068923,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,14.498157338727058,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",35,9,3.0883074095670877,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
