trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-125.150075926634,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.990025}",30,0,-115.96877716073357,"{0: 17, 1: 5, 2: 5, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",20,0,-72.37343761056793,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9801495006250001}",20,0,-99.72069032104822,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9752487531218751}",20,14,-3.229506628064857,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9703725093562657}",30,0,-153.62865609864923,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094844}",25,0,-125.86045147529472,"{0: 13, 1: 8, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.960693043575437}",20,0,-130.31720396877995,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9558895783575597}",25,0,-225.218831509232,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",30,0,-154.86189246019,"{0: 16, 1: 7, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",20,0,-125.34471642211591,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",20,0,-75.59321284814547,"{0: 10, 1: 8, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",20,0,-98.41631954472662,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",30,0,-138.9879456990404,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",25,0,-196.40354025632806,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",30,0,-159.70535547879985,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.918316468354365}",20,0,-114.26960704870417,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9137248860125932}",20,0,-130.84083027065853,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9091562615825302}",30,0,-161.08016519609095,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9046104802746175}",20,0,-99.59715195533416,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9000874278732445}",25,0,-87.09780614371526,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8955869907338783}",25,0,-25.63034221126619,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.8911090557802088}",30,0,-60.19899191101034,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8866535105013078}",20,0,-164.72771147209752,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8822202429488013}",25,0,-155.29735109796252,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8778091417340573}",25,0,-89.66224571841624,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.8734200960253871}",25,6,-82.41055723102089,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.8690529955452602}",20,0,-109.54142009552777,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.8647077305675338}",25,0,-82.03966253002953,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.8603841919146962}",25,0,-127.24131185187728,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
