trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.23019859223983,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.3556138255407,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.4195059075237,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-236.777703227082,"{0: 13, 1: 4, 2: 9, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.0587690962328,"{0: 12, 1: 3, 2: 10, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.68759796148305,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.64260192631382,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.2476827100077,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.7455861270155,"{0: 9, 1: 8, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.78462789581967,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.53255785640886,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-304.7921124925591,"{0: 16, 1: 6, 2: 5, 3: 4, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,2,-94.27255908250352,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.38871792120878,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-235.902783882392,"{0: 20, 1: 4, 2: 6, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-216.60295939532676,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.87707428935383,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.88352139039296,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.12999095936456,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.67170537830813,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-116.9536717855063,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-213.12401726048904,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",25,0,-180.39891144855054,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,0,-85.85371185682325,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-207.1445549538658,"{0: 14, 1: 3, 2: 9, 3: 2, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-111.33347531308871,"{0: 7, 1: 3, 2: 9, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-121.6882579259344,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,12,-40.73082279205305,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-56.69420891251631,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-185.0533516789437,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
