trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.89942598876087,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.60398250303652,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.43406699315494,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.85701880401386,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.92909690556135,"{0: 9, 1: 7, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.7141460744385,"{0: 18, 1: 1, 2: 9, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.80136194402542,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.25446305034568,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-60.43302060961913,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.24509865652327,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.7038564444716,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-231.38393983850338,"{0: 18, 1: 5, 2: 7, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.9466937395091,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.76259001017202,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.53615156761529,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.01286268310722,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.90264610094613,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-101.41887947876218,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,1,-87.66867300034828,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,15,0.4378876119049462,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.29679420421379,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-97.25997563687272,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,2,-128.20190614621347,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-172.59390151766868,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.4222348094695,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,8,-142.77921646514503,"{0: 4, 1: 0, 2: 5, 3: 1, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.73771001123181,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-261.48435883906427,"{0: 14, 1: 3, 2: 6, 3: 4, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-148.39494191015064,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.53774164455322,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
